ID,Sentence,Description,App names,Owner,State,Updated at
371622983,"When Status changes to Repaired
 and only if Supplier contains all these labels notify Michael Ferrari",,"","Michael Ferrari","active","Jan 7, 2025, 4:52 PM"
344114656,"When Status changes to Client To Contact
 notify Michael Ferrari and move item to Client Services - To Do",,"","Michael Ferrari","active","Dec 19, 2024, 2:30 PM"
362901244,"When Client changes to Warranty
 set Repair Type to Warranty and set Payment Method to Warranty and set Payment Status to Warranty",,"","Ricky Panesar","deactivated","Dec 19, 2024, 11:35 AM"
337370919,"When Technician is assigned to Maksym Shtanko, move item to group",,"","Maksym Shtanko","auto_disabled_by_deleted_resource","Dec 18, 2024, 2:04 PM"
362887045,"When Repair Type changes to Sold
 and only if Client is BM set Payment Status to Confirmed and set Payment Method to BM Sale",,"","Ricky Panesar","active","Dec 17, 2024, 11:17 AM"
364025154,"When Status changes to Book Courier
 and only if Service is Mail-In move item to Outbound Shipping",,"","Michael Ferrari","active","Nov 29, 2024, 10:21 AM"
339385373,"When Status changes to Courier Booked
 and only if Service is Mail-In move item to Outbound Shipping",,"","Mike McAdam","active","Nov 26, 2024, 3:03 PM"
362869414,"When Status changes to Shipped
 and if Received is empty and only if Repair Type is Sold move item to Returned",,"","Michael Ferrari","active","Nov 26, 2024, 1:42 PM"
260513231,"When Status changes to Shipped
 and if Received is empty and only if Repair Type is not Sold move item to Incoming Future",,"","Maksym Shtanko","active","Nov 25, 2024, 6:36 PM"
362329061,"When Status changes to Ready To Collect
 and only if Repair Type is Listed move item to BMs Awaiting Sale",,"","Michael Ferrari","active","Nov 25, 2024, 11:45 AM"
205853796,"When Status changes to BER/Parts
 set Payment Status to Confirmed",,"","Maksym Shtanko","active","Nov 25, 2024, 10:46 AM"
361591581,"When Status changes to Expecting Device
 move item to Incoming Future",,"","Michael Ferrari","active","Nov 22, 2024, 2:32 PM"
206743263,"When Status changes to Received
 and only if Client is Warranty create an item in Warranties & Breakages and connect Warranties & Breakages with Main Item (if any)",,"","Maksym Shtanko","active","Nov 11, 2024, 3:34 PM"
355902302,"When Status changes to Ready To Collect
 and only if Service is Stuart Courier move item to Outbound Shipping",,"","Mike McAdam","active","Nov 6, 2024, 5:04 PM"
355319600,"When Repair Type changes to BER
 clear Requested Repairs and clear Custom Products",,"","Michael Ferrari","active","Nov 5, 2024, 10:03 AM"
355318918,"When Repair Type changes to Quote Rejected
 clear Requested Repairs and clear Custom Products",,"","Michael Ferrari","active","Nov 5, 2024, 10:03 AM"
349863952,"When any column changes, send a webhook",,"Webhooks","Michael Ferrari","deactivated","Oct 24, 2024, 9:05 AM"
319314766,"When Status changes to Returned
 move item to Returned",,"","Maksym Shtanko","active","Oct 23, 2024, 6:31 PM"
349862649,"When an item is created, send a webhook",,"Webhooks","Michael Ferrari","deactivated","Oct 22, 2024, 5:05 PM"
350113039,"When any column changes, send a webhook",,"Webhooks","Michael Ferrari","deactivated","Oct 22, 2024, 11:12 AM"
349863361,"When any column changes, send a webhook",,"Webhooks","Michael Ferrari","deactivated","Oct 19, 2024, 4:58 PM"
349881274,"When an item is created, send a webhook",,"Webhooks","Michael Ferrari","deactivated","Oct 19, 2024, 4:58 PM"
337386341,"When Status changes, send a webhook",,"Webhooks","Maksym Shtanko","deactivated","Oct 15, 2024, 3:04 PM"
344291572,"When Make Sale Item changes, send a webhook",,"Webhooks","Maksym Shtanko","deactivated","Oct 9, 2024, 3:05 PM"
309734967,"When Make Sale Item changes, send a webhook",,"Webhooks","Maksym Shtanko","active","Oct 9, 2024, 2:35 PM"
338556547,"When Make Sale Item changes, send a webhook",,"Webhooks","Ricky Panesar","deactivated","Oct 8, 2024, 11:09 AM"
341940054,"When an item is moved to Returned stop Total Time",,"","Mike McAdam","active","Sep 24, 2024, 11:40 AM"
341517382,"When Notifications changes to ON
 and only if Service is Walk-In and only if Status is New Repair move item to Today's Repairs",,"","Mike McAdam","active","Sep 23, 2024, 10:04 AM"
3616510,"When Status changes to Returned, set Collection Date to current date",,"","Ricky Panesar","active","Sep 20, 2024, 5:40 AM"
5834756,"When Status changes to Quote Sent, move item to Client Services - Awaiting Confirmation",,"","Ricky Panesar","active","Sep 20, 2024, 5:40 AM"
339427949,"When Booking Time arrives and only if Payment Status is Unsuccessful notify Michael Ferrari",,"","Michael Ferrari","active","Sep 18, 2024, 10:27 AM"
329581709,"When an item is moved to Awaiting Confirmation of Price notify Michael Ferrari",,"","Michael Ferrari","deactivated","Sep 17, 2024, 11:03 AM"
339411159,"When Status changes to Quote Sent
 clear **Deadline**",,"","Mike McAdam","active","Sep 16, 2024, 1:47 PM"
339383390,"When Status changes to Shipped
 and if Received is not empty move item to Returned",,"","Mike McAdam","active","Sep 16, 2024, 12:00 PM"
272490060,"When Status changes to Ready To Collect
 and only if Service is Walk-In move item to Awaiting Collection",,"","Maksym Shtanko","active","Sep 16, 2024, 11:09 AM"
338559396,"When Status changes to Diagnostics, start Diagnostic Time. When it changes to anything stop.",,"","Ricky Panesar","active","Sep 12, 2024, 4:12 PM"
